               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.038021,            0.010551,           0.0083496,             0.87752,             0.74721,             0.80424,             0.35261,             0.02861,           0.0087498,           0.0050859,            0.006601,            0.006601,            0.006601
                 105,            0.035979,             0.01062,           0.0074324,             0.88237,             0.76737,              0.8169,             0.34912,            0.029115,           0.0085016,           0.0049738,            0.006568,            0.006568,            0.006568
                 106,            0.036618,            0.010904,           0.0064166,             0.82016,             0.76572,              0.8098,             0.35029,            0.029615,           0.0090963,           0.0049392,            0.006535,            0.006535,            0.006535
                 107,            0.036402,            0.010588,           0.0085243,             0.88073,             0.74728,             0.81664,             0.34452,            0.030074,           0.0085847,           0.0051865,            0.006502,            0.006502,            0.006502
                 108,            0.034092,            0.010721,           0.0079175,             0.86792,             0.79796,             0.83059,             0.35153,            0.028107,           0.0084357,           0.0052825,            0.006469,            0.006469,            0.006469
                 109,            0.038338,            0.010296,           0.0075963,             0.88502,             0.75708,             0.81351,             0.35266,            0.029952,           0.0083758,           0.0050163,            0.006436,            0.006436,            0.006436
                 110,            0.037385,            0.010645,           0.0069203,             0.90005,             0.75249,             0.81095,               0.345,            0.029241,           0.0084638,           0.0047606,            0.006403,            0.006403,            0.006403
                 111,            0.034945,            0.010449,           0.0066547,             0.89117,             0.76954,             0.82468,             0.34692,            0.029003,           0.0084243,            0.004884,             0.00637,             0.00637,             0.00637
                 112,            0.035286,            0.010714,           0.0071848,             0.89334,             0.76202,             0.82083,              0.3543,            0.029827,            0.008518,           0.0049734,            0.006337,            0.006337,            0.006337
                 113,            0.035403,            0.010459,           0.0076995,             0.88027,             0.79774,             0.84406,             0.36324,             0.02896,           0.0083764,           0.0051672,            0.006304,            0.006304,            0.006304
                 114,            0.038129,            0.010103,           0.0073153,             0.91137,             0.78456,             0.83513,             0.35218,             0.02978,           0.0084766,           0.0047483,            0.006271,            0.006271,            0.006271
                 115,            0.035048,            0.010183,           0.0073286,             0.88975,             0.76965,             0.82589,             0.35492,            0.029457,           0.0088726,           0.0048128,            0.006238,            0.006238,            0.006238
                 116,            0.036909,            0.010794,           0.0065669,             0.90114,             0.77714,             0.83927,              0.3478,            0.029139,           0.0085987,           0.0045506,            0.006205,            0.006205,            0.006205
                 117,            0.035198,            0.010228,           0.0062209,             0.87362,             0.73738,             0.79645,             0.33682,            0.028991,           0.0089704,           0.0058298,            0.006172,            0.006172,            0.006172
                 118,            0.034667,            0.010397,           0.0066976,             0.90056,             0.78518,             0.83468,              0.3612,            0.029533,           0.0083389,           0.0047404,            0.006139,            0.006139,            0.006139
                 119,            0.035658,           0.0098284,           0.0073456,             0.91373,             0.77488,             0.84233,             0.34983,            0.029273,           0.0082331,           0.0047012,            0.006106,            0.006106,            0.006106
                 120,            0.034862,            0.010072,           0.0064972,             0.88732,             0.79144,             0.83525,             0.36817,            0.029128,           0.0084025,           0.0046406,            0.006073,            0.006073,            0.006073
                 121,            0.034424,            0.010454,           0.0057536,              0.8985,             0.79994,             0.84585,             0.37259,            0.028738,           0.0082325,           0.0044647,             0.00604,             0.00604,             0.00604
                 122,            0.035706,            0.010521,           0.0076447,             0.90255,             0.82021,             0.85781,             0.37242,            0.027991,           0.0082168,           0.0041909,            0.006007,            0.006007,            0.006007
                 123,            0.031538,           0.0099599,           0.0062743,             0.89502,             0.78974,             0.84162,             0.37103,            0.028318,           0.0083412,           0.0055166,            0.005974,            0.005974,            0.005974
                 124,            0.037567,            0.010773,           0.0069756,             0.90696,             0.81007,             0.84952,             0.36872,             0.02711,           0.0080788,            0.004297,            0.005941,            0.005941,            0.005941
                 125,             0.03777,            0.010271,           0.0071514,             0.90487,             0.78633,              0.8495,             0.37831,            0.028391,           0.0081642,           0.0048849,            0.005908,            0.005908,            0.005908
                 126,            0.036923,           0.0099059,           0.0071605,             0.91354,             0.80969,             0.85246,             0.38492,            0.028219,           0.0080133,           0.0041479,            0.005875,            0.005875,            0.005875
                 127,            0.034487,           0.0099309,           0.0056171,              0.9046,             0.82352,             0.85365,             0.37377,            0.028983,           0.0079974,           0.0040477,            0.005842,            0.005842,            0.005842
                 128,            0.033903,             0.01002,           0.0068554,             0.90449,             0.81078,             0.85544,              0.3751,            0.029182,           0.0079279,           0.0043254,            0.005809,            0.005809,            0.005809
                 129,            0.033041,            0.010125,           0.0068106,             0.89506,             0.83231,             0.86544,             0.37707,            0.028727,           0.0078624,           0.0044243,            0.005776,            0.005776,            0.005776
                 130,             0.03526,            0.010151,           0.0058675,             0.93155,             0.80504,             0.85513,             0.35785,            0.029804,           0.0080823,           0.0038991,            0.005743,            0.005743,            0.005743
                 131,            0.032575,           0.0097501,           0.0056604,             0.92797,             0.82556,             0.85788,             0.39039,            0.028011,            0.007851,           0.0039746,             0.00571,             0.00571,             0.00571
                 132,             0.03135,           0.0096993,           0.0058806,             0.91955,             0.83037,             0.86386,              0.3965,            0.027576,           0.0077949,           0.0040427,            0.005677,            0.005677,            0.005677
                 133,            0.033416,            0.010005,           0.0057682,             0.90585,             0.82688,             0.86371,             0.37606,            0.027989,           0.0079103,           0.0041826,            0.005644,            0.005644,            0.005644
                 134,            0.033121,            0.010069,           0.0058338,             0.90964,             0.82291,              0.8659,             0.37565,            0.027424,           0.0078831,           0.0041793,            0.005611,            0.005611,            0.005611
                 135,            0.034214,           0.0097339,           0.0065707,              0.9295,             0.80369,             0.86508,             0.38458,            0.026428,           0.0079992,           0.0040581,            0.005578,            0.005578,            0.005578
                 136,            0.032588,           0.0098073,            0.005662,             0.93345,                0.81,             0.86479,             0.40037,             0.02754,           0.0079523,           0.0041216,            0.005545,            0.005545,            0.005545
                 137,            0.032711,           0.0097211,           0.0069987,             0.93943,              0.8092,             0.86235,             0.39876,            0.027661,           0.0078881,           0.0039359,            0.005512,            0.005512,            0.005512
                 138,            0.030333,           0.0094326,           0.0052726,             0.92483,              0.8254,             0.86881,             0.38336,             0.02787,           0.0080487,           0.0042399,            0.005479,            0.005479,            0.005479
                 139,            0.037889,            0.010086,           0.0059978,             0.92696,             0.82332,             0.87051,             0.38064,            0.028783,           0.0079958,           0.0039417,            0.005446,            0.005446,            0.005446
                 140,             0.03158,           0.0096841,           0.0054316,             0.91083,             0.82595,             0.86488,             0.38077,            0.030376,           0.0078544,           0.0040955,            0.005413,            0.005413,            0.005413
                 141,            0.035271,             0.00997,           0.0056408,             0.93947,             0.81819,             0.86544,             0.37389,             0.02794,           0.0079476,           0.0039918,             0.00538,             0.00538,             0.00538
                 142,            0.032508,           0.0098025,           0.0051969,             0.93671,             0.80566,             0.85039,             0.37407,            0.027737,           0.0079675,           0.0040104,            0.005347,            0.005347,            0.005347
                 143,            0.033423,            0.010084,           0.0060356,             0.91646,             0.83004,             0.86192,             0.36052,            0.028802,           0.0080098,           0.0040581,            0.005314,            0.005314,            0.005314
                 144,             0.03391,            0.010287,           0.0057838,             0.92248,             0.83226,             0.86666,             0.37497,            0.028543,           0.0078738,           0.0039311,            0.005281,            0.005281,            0.005281
                 145,            0.033516,            0.010047,           0.0061859,             0.93331,             0.83167,             0.86835,              0.3798,            0.026945,           0.0078037,           0.0038796,            0.005248,            0.005248,            0.005248
                 146,            0.031546,           0.0097398,           0.0053449,             0.92883,             0.82885,              0.8631,             0.38552,            0.027843,           0.0078117,           0.0035378,            0.005215,            0.005215,            0.005215
                 147,            0.035082,           0.0097673,           0.0055983,             0.92352,             0.82479,             0.86499,             0.40495,            0.027517,           0.0079609,           0.0035722,            0.005182,            0.005182,            0.005182
                 148,            0.033508,           0.0099299,           0.0054298,              0.9292,             0.83468,               0.866,             0.39873,            0.027863,           0.0079203,           0.0037132,            0.005149,            0.005149,            0.005149
                 149,            0.031345,            0.009484,           0.0047042,              0.9467,             0.82029,             0.87817,             0.40062,            0.028718,           0.0077426,           0.0037115,            0.005116,            0.005116,            0.005116
                 150,            0.033902,           0.0096422,           0.0047949,             0.93756,              0.8273,             0.87389,              0.3795,            0.027334,           0.0078149,           0.0037104,            0.005083,            0.005083,            0.005083
                 151,            0.032131,           0.0095485,           0.0058996,             0.92434,             0.83632,             0.87074,             0.40342,            0.028029,           0.0078814,             0.00437,             0.00505,             0.00505,             0.00505
                 152,            0.032284,           0.0097669,           0.0051489,             0.95038,             0.82004,             0.88001,             0.39403,            0.027169,           0.0079708,           0.0040275,            0.005017,            0.005017,            0.005017
                 153,            0.033472,           0.0098157,           0.0054271,             0.93719,             0.82829,             0.87786,             0.38446,            0.028108,           0.0079789,            0.004141,            0.004984,            0.004984,            0.004984
                 154,            0.031965,           0.0097295,           0.0052575,             0.93559,             0.83563,              0.8724,             0.39991,             0.02983,           0.0079594,           0.0038286,            0.004951,            0.004951,            0.004951
